s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
3.013197043088628106e+02,-3.351883957635836708e+01,-6.629774059625074756e+01,1.448911318029722395e+00,-1.002441804848448748e-02,1.248679702410064785e+01,2.173260028320426862e+00
3.015196510270504859e+02,-3.371727374812691380e+01,-6.627323314331017912e+01,1.446922694251095987e+00,-9.867615397570354829e-03,1.252154832047344257e+01,2.155832105442138324e+00
3.017195977452382181e+02,-3.391566150979630123e+01,-6.624833394220809168e+01,1.444965372884556398e+00,-9.711182094992871702e-03,1.255592590973859046e+01,2.138543941493703304e+00
3.019195444634258934e+02,-3.411400974669831498e+01,-6.622304839806500354e+01,1.443039202679242905e+00,-9.555060850826701396e-03,1.258993507276541557e+01,2.121394415712915205e+00
3.021194911816135686e+02,-3.431229830928705127e+01,-6.619738537517912391e+01,1.441144307322086426e+00,-9.399372936210752608e-03,1.262358098319393740e+01,2.104382416325057292e+00
3.023194378998013008e+02,-3.451053970299344087e+01,-6.617134956008918323e+01,1.439280503960764346e+00,-9.243983093031345535e-03,1.265686871051318541e+01,2.087506840471182290e+00
3.025193846179889761e+02,-3.470874217238092285e+01,-6.614494610493858318e+01,1.437447652653385255e+00,-9.088846977682927056e-03,1.268980322302363462e+01,2.070766594136468797e+00
3.027193313361767082e+02,-3.490688594124610233e+01,-6.611818390252838640e+01,1.435645882050320843e+00,-8.934025994637705484e-03,1.272238939068921582e+01,2.054160592079135927e+00
3.029192780543643835e+02,-3.510498208271832254e+01,-6.609106773090357478e+01,1.433875042141840250e+00,-8.779434986207854119e-03,1.275463198788405350e+01,2.037687757760195062e+00
3.031192247725521156e+02,-3.530304009952791233e+01,-6.606360249972050269e+01,1.432135003681669794e+00,-8.625046688984852605e-03,1.278653569603846307e+01,2.021347023274079557e+00
3.033191714907397909e+02,-3.550104073942195981e+01,-6.603579710944583780e+01,1.430425897344410835e+00,-8.470875682680411439e-03,1.281810510618906562e+01,2.005137329278636749e+00
3.035191182089274662e+02,-3.569899362662064846e+01,-6.600765645926054503e+01,1.428747602719289134e+00,-8.316871424962866965e-03,1.284934472143696205e+01,1.989057624926828360e+00
3.037190649271151983e+02,-3.589690937913217539e+01,-6.597918523401575897e+01,1.427100000991104345e+00,-8.163025739539159914e-03,1.288025895931834519e+01,1.973106867798798847e+00
3.039190116453028736e+02,-3.609476936889401344e+01,-6.595039232504184668e+01,1.425483222578577625e+00,-8.009316748597240451e-03,1.291085215409117026e+01,1.957284023834215736e+00
3.041189583634906057e+02,-3.629258183649434244e+01,-6.592128276827399702e+01,1.423897173005496342e+00,-7.855717235541206239e-03,1.294112855894161385e+01,1.941588067264849116e+00
3.043189050816782810e+02,-3.649035834137379197e+01,-6.589186104785120790e+01,1.422341743880430887e+00,-7.702238560950786829e-03,1.297109234811387779e+01,1.926017980548811126e+00
3.045188517998660132e+02,-3.668808093949394333e+01,-6.586213603299322017e+01,1.420817063518474477e+00,-7.548831082325093561e-03,1.300074761896640929e+01,1.910572754303622833e+00
3.047187985180536884e+02,-3.688575661459656629e+01,-6.583211289952538436e+01,1.419323059512076934e+00,-7.395482420303486557e-03,1.303009839395791225e+01,1.895251387241519536e+00
3.049187452362413637e+02,-3.708339767301114875e+01,-6.580179596029238098e+01,1.417859634036346961e+00,-7.242222679168651422e-03,1.305914862256585707e+01,1.880052886104330412e+00
3.051186919544290959e+02,-3.728098688331969868e+01,-6.577119405280039643e+01,1.416426911834926639e+00,-7.088981519503345999e-03,1.308790218314055842e+01,1.864976265599209260e+00
3.053186386726167711e+02,-3.747853014197661992e+01,-6.574031248539732530e+01,1.415024838725623013e+00,-6.935755819831918544e-03,1.311636288469728662e+01,1.850020548334248005e+00
3.055185853908045033e+02,-3.767604029639179686e+01,-6.570915543310418627e+01,1.413653327566856799e+00,-6.782592479566678517e-03,1.314453446864904862e+01,1.835184764756053299e+00
3.057185321089921786e+02,-3.787350083335007156e+01,-6.567773169486986262e+01,1.412312498365987601e+00,-6.629405975189608426e-03,1.317242061048253632e+01,1.820467953085660229e+00
3.059184788271798539e+02,-3.807091675756061733e+01,-6.564604669591786035e+01,1.411002311538177345e+00,-6.476199057025755837e-03,1.320002492137934347e+01,1.805869159257359247e+00
